product_title,star_rating,verified_purchase,review_headline,review_body,review_date
GE Part Number JXDD44R ACCESSORY,4,Y,Arrived the same day it was shipped????,"Ordered this to replace an existing GE griddle that had begun to crack and peel after many years of use on high heat -- mailing to cook pancakes and home made flour tortillas.  The one thing that concerned me was that my wife and I ordered this item just before we left from a 5 or 6 day road trip.  Two day later we got a notice that the item shipped (on a Friday) and was due to arrive between the following Wednesday and Saturday or some 6 to 10 days later.  However, the next day (Saturday) when I checked to see where the package was it said it was delivered Friday &#34;left on porch&#34;  the delivery note said -- so it arrive the same day it was shipped.  Luckily this was not a $1,000 piece of electronics.<br /><br />The item itself is just what we thought it would be and looks very similar to the one we replaced, although my wife thinks the metal is a little thinner than the original.  Might be, but the last one lasted almost 20 years, so if we can get close to that on this it will be well worth the money spent.",8/28/15
"GE CT959STSS Cafe 30"" Stainless Steel Electric Double Wall Oven - Convection",4,Y,Four Stars,matches other appliances.<br />well made,8/27/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Winner winner chicken dinner,Okay so these were about half the cost of the factory ones. Fit great and from what I tell they will work exactly the same. Service? Delivery was fast and just like promised.,8/27/15
GE MSWF Compatible Water Filter - Refrigerator,5,Y,Five Stars,"Filter fit perfectly, saved $25, received copious support, thank you.",8/27/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,New filter,"Received my filter and installed the same day it was a perfect match, flushed it out and it works beautiful.",8/27/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,"the filter is fine, I am happy with it - No fault ...","the filter is fine, I am happy with it - No fault of the company, but I was hoping for more that just a chlorine odor and taste filter. If smart water has a more comprehensive filter, then I would purchase it from them next time - Water and Ice cube taste is much improved with this filter",8/27/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,BEWARE! Gross yellow water from brand new filter!,"Watch out! I just moved into a new place and wasn't sure how old the water filter was. I purchased this to replace the HDX model in the fridge. I ran a few gallons through it, then we noticed a day later that our water was yellow and there was buildup in the bottom of a water bottle we had filled. We thought maybe it had been that way since moving in since this was a brand new filter - then I looked in the ice maker where you can clearly see the new ice from this filter is yellow and disgusting. No idea what that yellow is but it absolutely came from this filter, which was new in box and fully sealed. Gross!",8/26/15
Genuine OEM 00427903 Bosch Dishwasher Drain & Circulation Filter 00418404,5,Y,Five Stars,This fit my bosch dishwasher perfectly.,8/26/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Excellent value! I will definitely reorder. Thank you!,8/26/15
"GE Profile PGP986SETSS 36"" Gas Cooktop with 5 Sealed Burners",5,Y,"Stove top Great! GE, not so much.",Replaced a 10-yr old cooktop and just love this one! GE needs to correct some installation instructions as one of their steps in converting from nat gas to LP is absolutely impossible. We had to hire a repairman to make the change in the instruction booklet; stovetop worked better prior to the change. Not good engineering; obviously no one tried to make the correction before printing the requirement.,8/26/15
GE WX9X6 4' - 3 Prong Range Power Cord - 40 Amp,5,Y,Five Stars,OK Worked Good,8/26/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,So far so good. Easy to install. Works well. No leaking and water tastes great.,8/26/15
GE Partsmaster Electric Range Knob Set,1,Y,"Nope, careful.  Check your attachment.",These did NOT work out.,8/25/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Works great! The price is great as well!  would definitely recommend.,8/25/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Works great,8/25/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,I have a GE fridge with MWF filter and this ...,I have a GE fridge with MWF filter and this did not fit.  I compared the fitting to the one I replaced and it is not the same.,8/25/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,"Installs easy and fits just like the GE, and cost a lot less.",8/25/15
Generic Mini USB Fridge (RED),3,Y,Great desk accessory,Great desk accessory. But it is not great at chilling a beverage. What i find myself doing is chilling cans in the real fridge and using this to keep them from warming up to room temperature right away.,8/25/15
"GE GYE22KMHES 36"" Counter-Depth French-Door Refrigerator in Slate",5,Y,Five Stars,Very nice,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Works great,8/24/15
GE MSWF Compatible Water Filter - Refrigerator,5,Y,Great quality and price.,Great quality product at half the cost of the name brand filter.  Went up and on easily and as described.  I'd recommend this product to anyone considering a water filter eplacement.,8/24/15
GE Part Number WR17X10745 GRILL RECESS BK,4,Y,Easy and cheap!,My old grate under the water dispenser was dis colored from hard water and I couldn't get it off. I have a GE Profile refrigerator and the model number of the refrigerator and the part number of the grate didn't match the Amazon numbers.  I took a chance on this part because of the price. I'm happy to report that the new grate fits nicely into the recessed area below the dispenser.  It's a little smaller than the old one but fits and works just fine. Great buy and a simple way to renew the look of your refrigerator.,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Fit Perfect,Fit Perfect,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Perfect!,"Filter fits my GE perfectly, water tastes great!",8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Filter provides great tasting water!,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Just like the GE model,Just like the GE model. Water tastes better in my view as well. No problems with fit. Cost is also great (about 50% less).,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,3,Y,Three Stars,"It woks fine, but you must already have the adapter to install it.",8/24/15
GE Microwave Oven Magnetron and Diode Kit OM75P (10) Part # WB27X10017,5,Y,"Timely delivery, good product.","Prompt delivery, my microwave is back up and running.",8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,So far so great.,"Works the same as the name brand (at installation).  I don't know if it will last as long, but the water tastes good and is clear.  Significantly cheaper than buying the name brand in a store, so I believe this is a bargain worth buying.",8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Took care of my warning light,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,"Fit perfect, follow directions on purging and water taste perfect",8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great!,Be sure to fill with water before installing! Works great!,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Good filter replacement,Great product for about half the OEM price,8/24/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Works great,It works perfectly. It arrived sooner than expected. Handy tips from the company.,8/23/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,And the water tastes funny. Don't trust,"Our water filter light won't turn off despite running the water through this filter for over 15 minutes. With the GE filters, the light would turn off after a couple minutes of running the water. And the water tastes funny. Don't trust it",8/23/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Very satisfied,This is my second time ordering this product. I'm satisfied with the performance and compatible price.,8/23/15
"GE MICROWAVES 1029481 1000W 1.6 cu. ft. Over-The-Ran Microwave Oven, Bisque",5,Y,Five Stars,Works great.,8/23/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Excellent replacement for the name brand at half the price.,8/23/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great seller,"Fast delivery. Proper fit, appears to be working excellent",8/23/15
GE MSWF Compatible Water Filter - Refrigerator,4,Y,Four Stars,This filter works great and at much less the cost than the GE brand. I will purchase again.,8/23/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Works like a champ.,8/23/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Good,8/22/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Great price.  Works well!,8/22/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,"Good product, great savings","Received the product quickly, professionally packaged and sealed.  Installed very easily.  I'm very pleased with this purchase, will save lots of money on filters.",8/21/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Works great!,8/21/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,I liked it but the taste of water is not the ...,I liked it but the taste of water is not the same as with GE filter. Easy to Install.<br /><br />Good Price........,8/21/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great inexpensive alternative,"Standard charcoal filter for GE fridge. Works great, saves money. I'm all about saving money, and replacing the old filter made the water flow much faster, so it was probably past due!",8/21/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great filter for a lot less than a GE replacement,"Great filter for a lot less than a GE replacement.  It was easy to install, and the water tastes fine.  I plan to use these filters from now on.",8/21/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,BEATS THE GE HIGH PRICE,GOOD PRODUCT GOOD PRICE,8/21/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,"This product arrived on time, and works great",8/21/15
GE MSWF Compatible Water Filter - Refrigerator,1,Y,Did not work in GE Cafe Refrigerator,"Had to return both that I purchased. Neither worked in my GE CAFE (Highest end GE) refrigeration - no water flow. Original GE worked fine. Not sure what the problem was - pressed that water button for 8 minutes and never got a drop, prefilled it - still nothing except what I prefilled.",8/20/15
Genuine Factory OEM Original Dryer Drum Belt 661570 661570V,5,Y,Perfect Fit,"No issues. It was a perfect fit, now we're back in business!  By the way, Utube videos are awesome for showing you how to fix things!",8/20/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Cheaper than the GE brand,It was a water filter. I liked that it came with dates so we could put when the water filter was put in.<br />Cheaper than the GE brand.,8/20/15
GE MSWF Compatible Water Filter - Refrigerator,5,Y,The old filter hand twisted out and the new filter easily hand twisted in place,The water filter worked perfectly.  The old filter hand twisted out and the new filter easily hand twisted in place; I ran the suggested 8 gallons of water through it and it did not leak or have any problems.,8/20/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Seems to work as well as the GE filter at half the price.,8/20/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Just as good as GE brand plus a lot cheaper.,8/20/15
GE Partsmaster Electric Range Knob Set,5,Y,Works great & easy to install.,"Works perfectly, Easy to install. Thanks for a great product and impeccable service.",8/20/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,Four Stars,Fits well and does the job.,8/20/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Thank you so much on acting on my message that ...,Thank you so much on acting on my message that I had ordered 2 each of this product and had only received one.  A delivery on another filter was received shortely after you received my response.,8/20/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,It was really easy to install,The filter got on time. It was really easy to install.  I'm happy with the quality and the product in general,8/20/15
GE WX9X6 4' - 3 Prong Range Power Cord - 40 Amp,5,Y,Easy do it yoruself solution!,Because stoves no longer come with a power cord attached we have to go buy one for ourselves now. This power cord was easy to buy and simple to install. Perfect no fuss solution even for senior citizens like myself!,8/20/15
GE 30-Inch Wide 4-Sealed Burner Built-In Gas Cooktop,4,Y,I love it. It's pretty and functional,I love it.  It's pretty and functional.,8/19/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Perfect and easy replacement for the standard GE filters.,8/19/15
Genuine SAMSUNG Fridge Freezer Defrost Heater - Evaporator DA81-01691A,5,Y,Five Stars,It works good and easy to install,8/19/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Works great! Installed with no issues,"Works great! Installed with no issues, water pressure is great, water tastes great.<br />This will now be my new supplier of water filters. Half the price and I feel better than original.<br />Thank you!",8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great alternative,Great alternative to the GE brand.  Installation is identical to the GE fit perfect.,8/18/15
GE PVM9179SFSS Profile 1.7 Cu. Ft. Stainless Steel Over-the-Range Microwave - Convection,5,Y,What a great unit! Took some fiddling to install but the ...,What a great unit!  Took some fiddling to install but the unit itself is really very nice.,8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,Just as good,"We can't tell the difference between this $20 after market filter and the $50 replacement. Same job, saves money.",8/18/15
"GE JVM3160RFSS 30"" Over-the-Range Microwave Oven in Stainless Steel",5,Y,... this microwave in May of 2015 and its working great so far,Installed this microwave in May of 2015 and its working great so far.  It fit into the exisitng cabinet opening and installation was easy.  Looks great and family is happy with the purchase.  This unit seems well made and likely to last.,8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,Why pay more?,It works well and is easy to install.  Much cheaper than the manufacturer's water filter and lasts just as long.,8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,2,Y,Really Gross,There was some disgusting gelly like substance that kept running through my water dispense until I ran about 4-5 gallons of water through it. I was getting ready to return it when it finally cleared up. This is one of those cutting corners doesnt pay. I bought two. And it did it in both so it wasnt the water line.,8/18/15
Genuine OEM 00427903 Bosch Dishwasher Drain & Circulation Filter 00418404,5,Y,Excellent example of an OEM product,Excellent example of an OEM product; works like it was made by the people who made the dishwasher (it was!). Very happy with responsiveness to order.,8/18/15
"GE Cafe CGS990SETSS 30"" Freestanding Gas Range with 5 Sealed Burners, Convection Self-Clean Double Oven and Griddle, in Stainless Steel",5,Y,Perfect in every way,"Perfect in every way, even the delivery was great.  The delivery men were so careful and even put on booties to come into the house.  I would highly recommend, makes my kitchen a show stopper and makes me want to cook even more.",8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,works as advertised,8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,This water filter does a fine job. The water tastes good and the water ...,This water filter does a fine job. The water tastes good and the water pressure is good also. Absolutely no problems. The price is awesome!,8/18/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,and it seems working fine. The shipping was quite fast as well,"Much cheaper than the original one, and it seems working fine. The shipping was quite fast as well.",8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Best value around!!!!,Great filter & price!!!!!!,8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Great product,8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,serves it purpose. put in a rental home refrigerator ...,serves it purpose.  put in a rental home refrigerator and not our own.,8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Just like the GE filters but less expensive,"Arrived on time and works just like the GE filters but much less expensive. I did run about 10 glasses of water through it before I drank from the water, based on prior reviews. After flushing out the new filter, it works great!",8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,A great product and about $20 cheaper than Lowes. Got it in about 2 days. Highly recommend it.,8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,I noticed in my clear glass tea pot that there ...,I noticed in my clear glass tea pot that there were tiny little slivers of something that was in the water. I cannot drink the water out of my frig anymore.:( I purchased 2 of them at a discount. I do not feel they are safe.,8/17/15
Genuine Factory OEM Original Dryer Drum Belt 661570 661570V,4,Y,Very fast shipping!!!!,"The belt looks as described, looks to be good quality but havn't put in on.  The shipping was unbleavable.  I ordered this Saturday night and its here Monday",8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,Rubber water?!,Move bought the GE brand water filter before but wanted to see if this generic brand would work since it was less expensive. Made the water taste rubbery. It's gross.,8/17/15
GE PSA9120SFSS Profile Advantium 1.7 Cu. Ft. Stainless Steel Over-the-Range Microwave - Convection,4,Y,Four Stars,"Love this GE Profile. It's our 2nd one!! We love that it not only microwaves but also bakes and we can use it as a convection oven with Speedbake. Baked potatoes in 20 minutes! It is user friendly, we use it for everything! Would highly recommend it!",8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great product at a great price,"Easy to install, started working immediately and so far as I can tell it is identical to the GE brand filter (but 2/3 the price). Very happy with this filter.",8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great product and quick shipping,works great and arrived promptly,8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,... expensive GE with this and it fits + works great. Follow the instructions and let the water run ...,Replaced an expensive GE with this and it fits + works great.  Follow the instructions and let the water run a few minutes before you start drinking from it or you'll have that funny filter taste.,8/17/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Water filters,I did receive the filters just as ordered. I placed it in my fridge just as instructed and it work perfectly. Clean water came gushing out from the dispenser,8/16/15
GE PZS25KSESS Profile 24.6 Cu. Ft. Stainless Steel Counter Depth Side-By-Side Refrigerator,5,Y,Five Stars,Looks good and works great. Shipping was easy and on time.,8/16/15
GE MSWF Compatible Water Filter - Refrigerator,1,Y,don't spend the money,"Don't use this filter MWSF, does not work on GE refrigerator. Out the money and now need to purchase the GE MODAL. What a waste!",8/16/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,"easy to install, works well",8/16/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Quick deliver and water taste better than tap water.,8/16/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Great replacement & good follow up service,"This filter works just fine in my refrigerator , replacing the more expensive GE MWF filter.  Love the customer service follow up too",8/15/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,As advertised,Seems to be working great so far.,8/15/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,perfect,8/15/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,Really good filter for the price.,8/15/15
"GE GLDT690DWW 24"" White Fully Integrated Dishwasher - Energy Star",2,Y,Spend a little more,"I am so disappointed with this product. I can't believe it is a GE. I had to replace our wonderful Asko after many years of good service. Because our counters are 1/2&#34; too low for standard height dishwashers and we live in a remote area, I had very limited choices available that I could buy online and I couldn't actually see it before I bought it. After one load, I can make only two positive points: 1) the unit fits under our counter, and 2) a reasonably gooey load of dishes did get clean and reasonably dry. The racks, rollers, utensil baskets and spray arms are made of flimsy plastic. Although the unit is the same size as the Asko, the racks are only 17&#34; deep (instead of 19&#34;). The top one only pulls out part way, reducing capacity and making it hard to load and unload. I don't know what &#34;fully integrated&#34; means. It does NOT mean quiet. After rattling and roaring on for nearly 2 hours on the first load, the wretched thing created a further commotion by flashing a whole string of green lights and making intermittent beeping sounds to celebrate the fact that it had completed its cycle.  This continued until I got up and manually turned it off. I'm glad it was happy, because I just wanted to cry. As for Square Trade, the jury is out. They promised &#34;same day&#34; shipping on July 19. It shipped on July 28 and finally arrived on August 4. The 3-year Square Trade Large Appliance Protection policy has yet to arrive. Somehow, I suspect I'm going to need it, although I might be happier just letting the thing die an early death. I would wait to write this review until I had more to report, but I've given myself only 48 hours to think about how annoying this dishwasher is before I pretend it just doesn't exist.",8/15/15
GE Part Number WE12X10009 BELT-DRYER,4,Y,Within 10 - 15 minutes my dryer was running like new.,The belt was exactly what I ordered.  Within 10 - 15 minutes my dryer was running like new.,8/15/15
GE PVM9179SFSS Profile 1.7 Cu. Ft. Stainless Steel Over-the-Range Microwave - Convection,1,Y,it looks like it is cooking but the water is at room ...,"It came slightly damaged but main problem is that it does not heat at all in any functions.  I have tried to heat a cup of water with Microwave Express, it looks like it is cooking but the water is at room temperature after 30 seconds.  Then I have tried all the functions and none of them work.  The surface light and the vent fan works fine.  I really should try it before I install it.  Now I have all the trouble to remove it and install another one.<br /><br />I order it from Amazon and contacted both the seller Home Care Company.  Since it is Saturday so I will have to wait up to two working days to to get a respond from Home Care Company.  I am not sure what will happen but I am not recommend to buy this product or buy it online.",8/15/15
GE MSWF Compatible Water Filter - Refrigerator,5,Y,Five Stars,As far as I can tell the filter works just as well as the GE brand filter.,8/15/15
GE GSE25HGHBB 25.4 Cu. Ft. Black Side-By-Side Refrigerator - Energy Star,5,Y,2 Weeks In and Loving It!,"I love my new GE. Replacement filters are expensive though. Quiet, standard size and beautiful color. Controls are easy to follow and the wheels makes it easy to move .",8/14/15
"GE Microwave Glass Turntable Plate / Tray 12 1/2 "" WB49X10069",4,Y,Four Stars,Excellent,8/14/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,THE BEST!!,"What a fantastic transaction! I so appreciate how thorough your notes and directions are, as well as the follow up check in! The filter works beautifully - definitely the BEST generic filter we've ever used! Thanks so much!!!",8/14/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Yay! A generic filter that fits my fridge,Iv'e tried generic filters before on my GE fridge and they did not work.  I was thrilled to find that this one installed easily and it seems to work great.,8/14/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Prompt delivery,I've given this 5 stars based on prompt delivery but plan to continue using my current filters for a while longer before installing either of these so I cannot attest to their quality/,8/14/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Five Stars,"Needed on, ordered it, works as advertised.",8/14/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,a total waste of money,"Not able to give a ZERO star rating... I installed this per instructions, and my GE fridge light still says to replace filter.  I DID message the seller and their only response was that some manufacturers have things set up to not recognize their filters.  Now I don't know if this is actually working properly or if it does when should it be replaced... a total waste of money!",8/14/15
Generic Mini USB Fridge (RED),1,Y,One Star,Doesn't work at all.,8/14/15
"GE Cafe CGS990SETSS 30"" Freestanding Gas Range with 5 Sealed Burners, Convection Self-Clean Double Oven and Griddle, in Stainless Steel",5,Y,Great Deal,"Great Deal, once again Amazon beats the pants off the competition by several hundred dollars.",8/13/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,5,Y,Working great! Good product for less,Working great!  Good product for less!,8/13/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,1,Y,Will return product.  Filter made in China.  Does not meet all regs.,"When I ordered the product I assumed it was a American made filter.  After further review and reading on the box labeling it was defined as made in China.  Did not meet certain was filter regs. I should have read the reviews.  The Amazon listing did not specifically state it was made in China.  the listing says GE MWF Smart Water Filter Campatilble.  You can buy a surge protector from China, but something to do with intaking into your body I will not.  I will pay the extra amount to be assured of a product meeting all the requirements.",8/13/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,3,Y,I have a GE Arctica. This water filter works ...,"I have a GE Arctica.  This water filter works well, but I find it does not work as well as the genuine GE water filter.  There's a definite taste difference.",8/13/15
GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,4,Y,Filter delivered as promised,Filter delivered on time and as promised.  Can't say how it's working because I bought it as a spare when I used my last GE filter.  I doubt I will have any problems with this filter and if it works as advertised I will buy again as it is cheaper than the GE filter.,8/13/15
